=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 9건 (6승 3패)
총 수익금: +100,811원 (+10.1%)
  ㄴ 승리 수익: +175,811원 (실제 수익률 합계)
  ㄴ 손실 금액: -75,000원 (실제 손실률 합계)

=== 총 승패: 6승 3패 ===
=== selection_date 이후 승패: 6승 3패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 6승 3패 (승률 66.7%) ===
총 수익금: +100,811원 (+10.1%)
  ㄴ 승리 수익: +175,811원
  ㄴ 손실 금액: -75,000원

   🔴 258790 09:36 매수 → -2.50%
   🟢 042520 10:00 매수 → +3.50%
   🟢 060900 10:12 매수 → +3.50%
   🟢 099320 10:15 매수 → +0.08%
   🟢 258790 10:33 매수 → +3.50%
   🔴 019990 10:36 매수 → -2.50%
   🟢 042520 10:45 매수 → +3.50%
   🔴 060900 10:51 매수 → -2.50%
   🟢 019990 11:09 매수 → +3.50%

=== 051780 - 20250924 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-24 09:34:06
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    11:06→11:09: 종가:1,300 | 거래량:217 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:09→11:12: 종가:1,300 | 거래량:5,858 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:12→11:15: 종가:1,300 | 거래량:713 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:15→11:18: 종가:1,300 | 거래량:3,052 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:18→11:21: 종가:1,300 | 거래량:542 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:21→11:24: 종가:1,300 | 거래량:111 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:24→11:27: 종가:1,300 | 거래량:104 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:27→11:30: 종가:1,300 | 거래량:252 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:30→11:33: 종가:1,300 | 거래량:62 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:33→11:36: 종가:1,300 | 거래량:619 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:36→11:39: 종가:1,300 | 거래량:983 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:39→11:42: 종가:1,300 | 거래량:15 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:42→11:45: 종가:1,300 | 거래량:67 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:45→11:48: 종가:1,300 | 거래량:84 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:48→11:51: 종가:1,300 | 거래량:381 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:51→11:54: 종가:1,300 | 거래량:10,192 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:54→11:57: 종가:1,300 | 거래량:210 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    11:57→12:00: 종가:1,300 | 거래량:60 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:00→12:03: 종가:1,300 | 거래량:64 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:03→12:06: 종가:1,300 | 거래량:152 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:06→12:09: 종가:1,300 | 거래량:366 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:09→12:12: 종가:1,300 | 거래량:36 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:12→12:15: 종가:1,300 | 거래량:70 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:15→12:18: 종가:1,300 | 거래량:30 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:18→12:21: 종가:1,300 | 거래량:713 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:21→12:24: 종가:1,300 | 거래량:1,195 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:24→12:27: 종가:1,300 | 거래량:1,033 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:27→12:30: 종가:1,300 | 거래량:1,238 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:30→12:33: 종가:1,300 | 거래량:47 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:33→12:36: 종가:1,300 | 거래량:50 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:36→12:39: 종가:1,300 | 거래량:494 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:39→12:42: 종가:1,300 | 거래량:888 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:42→12:45: 종가:1,300 | 거래량:189 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:45→12:48: 종가:1,300 | 거래량:2,061 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:48→12:51: 종가:1,300 | 거래량:173 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:51→12:54: 종가:1,300 | 거래량:65 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:54→12:57: 종가:1,300 | 거래량:14 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    12:57→13:00: 종가:1,300 | 거래량:20 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    13:00→13:03: 종가:1,300 | 거래량:316 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    13:03→13:06: 종가:1,300 | 거래량:4,019 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    13:06→13:09: 종가:1,300 | 거래량:29 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    13:09→13:12: 종가:1,300 | 거래량:47 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    13:12→13:15: 종가:1,300 | 거래량:53 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    13:15→13:18: 종가:1,300 | 거래량:173 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    13:18→13:21: 종가:1,300 | 거래량:65 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    13:21→13:24: 종가:1,300 | 거래량:99 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    13:24→13:27: 종가:1,300 | 거래량:81 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
