=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 7건 (3승 4패)
총 수익금: +9,206원 (+0.9%)
  ㄴ 승리 수익: +77,716원 (실제 수익률 합계)
  ㄴ 손실 금액: -68,510원 (실제 손실률 합계)

=== 총 승패: 3승 4패 ===
=== selection_date 이후 승패: 3승 4패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 3승 4패 (승률 42.9%) ===
총 수익금: +9,206원 (+0.9%)
  ㄴ 승리 수익: +77,716원
  ㄴ 손실 금액: -68,510원

   🟢 039860(나노엔텍) 09:48 매수 → +3.50%
   🔴 049630(재영솔루텍) 09:57 매수 → -2.50%
   🔴 126340(비나텍) 10:00 매수 → -2.50%
   🟢 056090(시지메드텍) 10:22 매수 → +0.77%
   🔴 394800(쓰리빌리언) 10:27 매수 → -0.82%
   🔴 437730(삼현) 10:50 매수 → -1.03%
   🟢 007460(에이프로젠) 11:09 매수 → +3.50%

=== 084670 - 20251210 눌림목(3분) 신호 재현 ===
  selection_date: 2025-12-10 09:02:34
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    11:06→11:09: 종가:41,550 | 거래량:4,627 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:09→11:12: 종가:41,650 | 거래량:5,806 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:12→11:15: 종가:41,200 | 거래량:8,416 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:15→11:18: 종가:41,350 | 거래량:2,396 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:18→11:21: 종가:40,750 | 거래량:11,396 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:21→11:24: 종가:40,700 | 거래량:10,994 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:24→11:27: 종가:40,650 | 거래량:7,074 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:27→11:30: 종가:40,850 | 거래량:3,811 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:30→11:33: 종가:40,950 | 거래량:11,851 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:33→11:36: 종가:40,700 | 거래량:4,902 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:36→11:39: 종가:41,000 | 거래량:3,394 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:39→11:42: 종가:40,900 | 거래량:11,452 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:42→11:45: 종가:41,150 | 거래량:4,243 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:45→11:48: 종가:41,050 | 거래량:4,621 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:48→11:51: 종가:41,050 | 거래량:3,465 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:51→11:54: 종가:40,850 | 거래량:3,193 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:54→11:57: 종가:40,850 | 거래량:4,330 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
