=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 13건 (10승 3패)
총 수익금: +247,766원 (+24.8%)
  ㄴ 승리 수익: +299,782원 (실제 수익률 합계)
  ㄴ 손실 금액: -52,016원 (실제 손실률 합계)

=== 총 승패: 10승 3패 ===
=== selection_date 이후 승패: 10승 3패 ===
=== 📊 최대 동시 보유 종목 수: 8개 ===
=== 🌅 12시 이전 매수 종목: 10승 3패 (승률 76.9%) ===
총 수익금: +247,766원 (+24.8%)
  ㄴ 승리 수익: +299,782원
  ㄴ 손실 금액: -52,016원

   🟢 049470 09:30 매수 → +3.50%
   🟢 010170 09:33 매수 → +3.50%
   🔴 168360 09:39 매수 → -2.50%
   🟢 240810 09:48 매수 → +1.42%
   🟢 356860 09:48 매수 → +3.50%
   🔴 067310 09:57 매수 → -0.20%
   🟢 073010 09:57 매수 → +3.50%
   🟢 010170 10:09 매수 → +3.50%
   🟢 082270 10:15 매수 → +0.56%
   🔴 054540 10:30 매수 → -2.50%
   🟢 010170 10:54 매수 → +3.50%
   🟢 014280 11:12 매수 → +3.50%
   🟢 053260 11:52 매수 → +3.50%

=== 049470 - 20250910 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-10 09:05:44
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    09:30 [pullback_pattern]
  체결 시뮬레이션:
    09:30 매수[pullback_pattern] @3,650 → 09:40 매도[profit_3.5pct] @3,778 (+3.50%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    11:06→11:09: 종가:3,805 | 거래량:37,394 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:09→11:12: 종가:3,825 | 거래량:70,709 | 🔴회피(시가대비22.0%상승(22%이상차단)) | 신뢰도:0%
    11:12→11:15: 종가:3,790 | 거래량:75,120 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:15→11:18: 종가:3,775 | 거래량:86,236 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:18→11:21: 종가:3,790 | 거래량:103,650 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:21→11:24: 종가:3,820 | 거래량:51,804 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:24→11:27: 종가:3,810 | 거래량:40,207 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:27→11:30: 종가:3,790 | 거래량:48,668 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:30→11:33: 종가:3,810 | 거래량:19,025 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:33→11:36: 종가:3,805 | 거래량:27,709 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:36→11:39: 종가:3,770 | 거래량:38,791 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:39→11:42: 종가:3,715 | 거래량:150,511 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:42→11:45: 종가:3,720 | 거래량:70,144 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:45→11:48: 종가:3,730 | 거래량:44,197 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:48→11:51: 종가:3,765 | 거래량:47,611 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:51→11:54: 종가:3,745 | 거래량:17,900 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:54→11:57: 종가:3,715 | 거래량:38,225 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:57→12:00: 종가:3,680 | 거래량:208,791 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:00→12:03: 종가:3,675 | 거래량:77,604 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:03→12:06: 종가:3,675 | 거래량:35,009 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:06→12:09: 종가:3,687 | 거래량:19,812 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:09→12:12: 종가:3,645 | 거래량:66,517 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:12→12:15: 종가:3,645 | 거래량:50,597 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:15→12:18: 종가:3,670 | 거래량:127,300 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:18→12:21: 종가:3,640 | 거래량:35,290 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:21→12:24: 종가:3,675 | 거래량:17,738 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:24→12:27: 종가:3,650 | 거래량:23,052 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:27→12:30: 종가:3,605 | 거래량:65,738 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:30→12:33: 종가:3,635 | 거래량:37,202 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:33→12:36: 종가:3,645 | 거래량:17,673 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:36→12:39: 종가:3,630 | 거래량:58,619 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:39→12:42: 종가:3,650 | 거래량:20,765 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:42→12:45: 종가:3,650 | 거래량:15,887 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:45→12:48: 종가:3,650 | 거래량:93,344 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:48→12:51: 종가:3,660 | 거래량:28,604 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:51→12:54: 종가:3,665 | 거래량:12,815 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:54→12:57: 종가:3,640 | 거래량:30,849 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:57→13:00: 종가:3,630 | 거래량:32,206 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:00→13:03: 종가:3,605 | 거래량:51,305 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:03→13:06: 종가:3,600 | 거래량:118,317 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:06→13:09: 종가:3,575 | 거래량:55,117 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:09→13:12: 종가:3,570 | 거래량:108,881 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:12→13:15: 종가:3,590 | 거래량:63,905 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:15→13:18: 종가:3,595 | 거래량:49,286 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:18→13:21: 종가:3,605 | 거래량:24,921 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:21→13:24: 종가:3,590 | 거래량:20,805 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:24→13:27: 종가:3,605 | 거래량:21,268 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:27→13:30: 종가:3,560 | 거래량:92,486 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:30→13:33: 종가:3,595 | 거래량:19,965 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:33→13:36: 종가:3,655 | 거래량:93,204 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:36→13:39: 종가:3,655 | 거래량:100,339 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:39→13:42: 종가:3,660 | 거래량:22,183 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:42→13:45: 종가:3,660 | 거래량:19,318 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:45→13:48: 종가:3,610 | 거래량:58,485 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:48→13:51: 종가:3,635 | 거래량:14,976 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:51→13:54: 종가:3,670 | 거래량:25,158 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:54→13:57: 종가:3,635 | 거래량:28,148 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:57→14:00: 종가:3,625 | 거래량:20,601 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:00→14:03: 종가:3,650 | 거래량:23,422 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:03→14:06: 종가:3,640 | 거래량:53,253 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:06→14:09: 종가:3,640 | 거래량:16,367 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:09→14:12: 종가:3,650 | 거래량:18,283 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:12→14:15: 종가:3,640 | 거래량:21,934 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:15→14:18: 종가:3,625 | 거래량:16,437 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:18→14:21: 종가:3,575 | 거래량:88,079 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:21→14:24: 종가:3,600 | 거래량:24,557 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:24→14:27: 종가:3,600 | 거래량:26,858 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:27→14:30: 종가:3,605 | 거래량:32,199 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:30→14:33: 종가:3,620 | 거래량:49,674 | 🟢강매수 | 신뢰도:92%
    14:33→14:36: 종가:3,600 | 거래량:33,620 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:36→14:39: 종가:3,595 | 거래량:22,699 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:39→14:42: 종가:3,590 | 거래량:44,414 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:42→14:45: 종가:3,600 | 거래량:33,478 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:45→14:48: 종가:3,595 | 거래량:16,887 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:48→14:51: 종가:3,635 | 거래량:58,341 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:51→14:54: 종가:3,640 | 거래량:40,842 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:54→14:57: 종가:3,630 | 거래량:20,286 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:57→15:00: 종가:3,645 | 거래량:34,428 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:00→15:03: 종가:3,657 | 거래량:26,258 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:03→15:06: 종가:3,660 | 거래량:80,443 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:06→15:09: 종가:3,655 | 거래량:61,705 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:09→15:12: 종가:3,650 | 거래량:29,106 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:12→15:15: 종가:3,650 | 거래량:79,840 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:15→15:18: 종가:3,655 | 거래량:63,762 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:18→15:21: 종가:3,660 | 거래량:35,845 | 🔴회피(4단계패턴없음) | 신뢰도:0%

=== 298040 - 20250910 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-10 11:09:01
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:1,277,000 | 거래량:2,337 | 🔴회피(시가대비2.0%상승(2%미만차단)) | 신뢰도:0%
    09:15→09:18: 종가:1,279,000 | 거래량:4,165 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:1,279,000 | 거래량:2,160 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:1,281,000 | 거래량:1,042 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:1,285,000 | 거래량:1,272 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:1,294,000 | 거래량:2,474 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:1,294,000 | 거래량:2,473 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:1,291,000 | 거래량:1,124 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:1,286,000 | 거래량:1,118 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:1,271,000 | 거래량:1,514 | 🔴회피(이등분선아래) | 신뢰도:0%
    09:42→09:45: 종가:1,271,000 | 거래량:1,393 | 🔴회피(이등분선아래) | 신뢰도:0%
    09:45→09:48: 종가:1,270,000 | 거래량:949 | 🔴회피(이등분선아래) | 신뢰도:0%
    09:48→09:51: 종가:1,274,000 | 거래량:525 | 🔴회피(시가대비1.8%상승(2%미만차단)) | 신뢰도:0%
    09:51→09:54: 종가:1,274,000 | 거래량:388 | 🔴회피(시가대비1.8%상승(2%미만차단)) | 신뢰도:0%
    09:54→09:57: 종가:1,278,000 | 거래량:677 | 🟢강매수 | 신뢰도:92%
    09:57→10:00: 종가:1,280,000 | 거래량:1,037 | 🟢강매수 | 신뢰도:92%
    10:00→10:03: 종가:1,278,000 | 거래량:433 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:1,279,000 | 거래량:609 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:1,280,000 | 거래량:444 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:1,279,000 | 거래량:372 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:1,284,000 | 거래량:599 | 🟢강매수 | 신뢰도:92%
    10:15→10:18: 종가:1,285,000 | 거래량:413 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:1,284,000 | 거래량:580 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:1,283,000 | 거래량:558 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:1,294,000 | 거래량:1,873 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:1,293,000 | 거래량:905 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:30→10:33: 종가:1,297,000 | 거래량:1,551 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:33→10:36: 종가:1,299,000 | 거래량:1,132 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:36→10:39: 종가:1,307,000 | 거래량:3,078 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:39→10:42: 종가:1,328,000 | 거래량:3,089 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:42→10:45: 종가:1,331,000 | 거래량:4,085 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:45→10:48: 종가:1,338,000 | 거래량:2,303 | 🔴회피(4단계패턴없음) | 신뢰도:0%
