=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 8건 (4승 4패)
총 수익금: +6,318원 (+0.6%)
  ㄴ 승리 수익: +106,318원 (실제 수익률 합계)
  ㄴ 손실 금액: -100,000원 (실제 손실률 합계)

=== 총 승패: 4승 4패 ===
=== selection_date 이후 승패: 4승 4패 ===
=== 📊 최대 동시 보유 종목 수: 6개 ===
=== 🌅 12시 이전 매수 종목: 4승 4패 (승률 50.0%) ===
총 수익금: +6,318원 (+0.6%)
  ㄴ 승리 수익: +106,318원
  ㄴ 손실 금액: -100,000원

   🔴 424760 09:33 매수 → -2.50%
   🟢 448900 10:20 매수 → +3.50%
   🔴 003720 10:36 매수 → -2.50%
   🔴 095340 10:36 매수 → -2.50%
   🟢 085910 10:43 매수 → +3.50%
   🔴 092200 11:15 매수 → -2.50%
   🟢 235980 11:21 매수 → +3.50%
   🟢 058610 11:36 매수 → +0.13%

=== 058610 - 20251119 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-19 10:23:12
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    11:36 [pullback_pattern]
  체결 시뮬레이션:
    11:36 매수[pullback_pattern] @37,950 → 15:00 매도[profit_0.1pct] @38,000 (+0.13%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    11:15→11:18: 종가:37,250 | 거래량:43,088 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:18→11:21: 종가:37,350 | 거래량:103,979 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:21→11:24: 종가:37,550 | 거래량:68,954 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:24→11:27: 종가:37,600 | 거래량:37,774 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:27→11:30: 종가:37,500 | 거래량:42,322 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:30→11:33: 종가:37,800 | 거래량:37,880 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:33→11:36: 종가:38,000 | 거래량:116,211 | 🟢강매수 | 신뢰도:91% | 💰매수@37,950 | →15:00매도@38,000
    11:36→11:39: 종가:37,800 | 거래량:36,706 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:39→11:42: 종가:37,700 | 거래량:25,176 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:42→11:45: 종가:37,500 | 거래량:32,561 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:45→11:48: 종가:37,600 | 거래량:20,477 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:48→11:51: 종가:37,600 | 거래량:23,833 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:51→11:54: 종가:38,000 | 거래량:58,770 | 🟢강매수 | 신뢰도:88%
    11:54→11:57: 종가:38,350 | 거래량:53,341 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:57→12:00: 종가:37,850 | 거래량:58,357 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:00→12:03: 종가:37,750 | 거래량:22,503 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:03→12:06: 종가:37,700 | 거래량:27,773 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:06→12:09: 종가:38,150 | 거래량:40,783 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:09→12:12: 종가:38,250 | 거래량:72,666 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:12→12:15: 종가:38,200 | 거래량:38,241 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:15→12:18: 종가:38,050 | 거래량:34,157 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:18→12:21: 종가:38,150 | 거래량:14,390 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:21→12:24: 종가:38,150 | 거래량:32,630 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:24→12:27: 종가:38,050 | 거래량:38,755 | 🔴회피(4단계패턴없음) | 신뢰도:0%
