=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 7건 (3승 4패)
총 수익금: +3,646원 (+0.4%)
  ㄴ 승리 수익: +87,067원 (실제 수익률 합계)
  ㄴ 손실 금액: -83,422원 (실제 손실률 합계)

=== 총 승패: 3승 4패 ===
=== selection_date 이후 승패: 3승 4패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 3승 4패 (승률 42.9%) ===
총 수익금: +3,646원 (+0.4%)
  ㄴ 승리 수익: +87,067원
  ㄴ 손실 금액: -83,422원

   🟢 092300 09:39 매수 → +3.50%
   🟢 161390 10:00 매수 → +1.71%
   🔴 226950 10:24 매수 → -2.50%
   🔴 040300 10:34 매수 → -2.50%
   🔴 417970 10:42 매수 → -2.50%
   🟢 092300 10:51 매수 → +3.50%
   🔴 092300 11:42 매수 → -0.84%

=== 340930 - 20251110 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-10 09:42:57
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    14:09→14:12: 종가:2,370 | 거래량:6,330 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:12→14:15: 종가:2,370 | 거래량:3,584 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:15→14:18: 종가:2,366 | 거래량:6,548 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:18→14:21: 종가:2,362 | 거래량:6,542 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:21→14:24: 종가:2,366 | 거래량:8,145 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:24→14:27: 종가:2,370 | 거래량:3,637 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:27→14:30: 종가:2,366 | 거래량:6,492 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:30→14:33: 종가:2,363 | 거래량:6,395 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:33→14:36: 종가:2,366 | 거래량:5,253 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:36→14:39: 종가:2,362 | 거래량:3,284 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:39→14:42: 종가:2,366 | 거래량:1,404 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:42→14:45: 종가:2,375 | 거래량:11,401 | 🔴회피(이등분선아래) | 신뢰도:0%
    14:45→14:48: 종가:2,370 | 거래량:3,531 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:48→14:51: 종가:2,370 | 거래량:14,944 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:51→14:54: 종가:2,375 | 거래량:3,258 | 🔴회피(이등분선아래) | 신뢰도:0%
    14:54→14:57: 종가:2,375 | 거래량:2,878 | 🔴회피(이등분선아래) | 신뢰도:0%
    14:57→15:00: 종가:2,383 | 거래량:17,459 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:00→15:03: 종가:2,383 | 거래량:5,012 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:03→15:06: 종가:2,379 | 거래량:3,838 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:06→15:09: 종가:2,379 | 거래량:8,167 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:09→15:12: 종가:2,379 | 거래량:5,183 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:12→15:15: 종가:2,379 | 거래량:27,646 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:15→15:18: 종가:2,388 | 거래량:17,178 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:18→15:21: 종가:2,388 | 거래량:17,162 | 🔴회피(4단계패턴없음) | 신뢰도:0%

