=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 10건 (5승 5패)
총 수익금: +42,279원 (+4.2%)
  ㄴ 승리 수익: +153,841원 (실제 수익률 합계)
  ㄴ 손실 금액: -111,562원 (실제 손실률 합계)

=== 총 승패: 5승 5패 ===
=== selection_date 이후 승패: 5승 5패 ===
=== 📊 최대 동시 보유 종목 수: 7개 ===
=== 🌅 12시 이전 매수 종목: 5승 5패 (승률 50.0%) ===
총 수익금: +42,279원 (+4.2%)
  ㄴ 승리 수익: +153,841원
  ㄴ 손실 금액: -111,562원

   🔴 287840 09:31 매수 → -1.16%
   🔴 099440 09:42 매수 → -2.50%
   🟢 064820 10:01 매수 → +3.50%
   🟢 336260 10:12 매수 → +3.50%
   🟢 204620 10:30 매수 → +1.38%
   🔴 064820 10:41 매수 → -2.50%
   🔴 382900 10:48 매수 → -2.50%
   🟢 327260 10:54 매수 → +3.50%
   🟢 413630 11:15 매수 → +3.50%
   🔴 103230 11:21 매수 → -2.50%

=== 452280 - 20250911 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-11 09:02:21
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    11:15→11:18: 종가:10,230 | 거래량:8,064 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:18→11:21: 종가:10,220 | 거래량:14,762 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:21→11:24: 종가:10,240 | 거래량:3,806 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:24→11:27: 종가:10,330 | 거래량:19,227 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:27→11:30: 종가:10,500 | 거래량:69,370 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:30→11:33: 종가:10,470 | 거래량:35,042 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:33→11:36: 종가:10,450 | 거래량:11,839 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:36→11:39: 종가:10,400 | 거래량:12,112 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:39→11:42: 종가:10,430 | 거래량:10,188 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:42→11:45: 종가:10,450 | 거래량:7,916 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:45→11:48: 종가:10,450 | 거래량:11,718 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:48→11:51: 종가:10,690 | 거래량:52,481 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:51→11:54: 종가:10,690 | 거래량:104,825 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:54→11:57: 종가:10,860 | 거래량:136,801 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:57→12:00: 종가:10,770 | 거래량:68,682 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:00→12:03: 종가:10,820 | 거래량:51,513 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:03→12:06: 종가:10,770 | 거래량:27,807 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:06→12:09: 종가:10,690 | 거래량:34,267 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:09→12:12: 종가:10,660 | 거래량:25,532 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:12→12:15: 종가:10,800 | 거래량:52,037 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:15→12:18: 종가:10,740 | 거래량:77,062 | 🔴회피(4단계패턴없음) | 신뢰도:0%
