=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 5건 (3승 2패)
총 수익금: +21,700원 (+0.4%)
  ㄴ 승리 수익: +71,700원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

=== 총 승패: 3승 2패 ===
=== selection_date 이후 승패: 3승 2패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 3승 2패 (승률 60.0%) ===
총 수익금: +21,700원 (+0.4%)
  ㄴ 승리 수익: +71,700원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

   🟢 462310(뉴키즈온) 09:36 매수 → +3.50% [ML: 71.3%]
   🟢 458870(씨어스테크놀로지) 09:51 매수 → +0.17% [ML: 79.6%]
   🟢 441270(파인엠텍) 09:56 매수 → +3.50% [ML: 67.3%]
# [ML 필터링: 34.3%]       🟢 097230(HJ중공업) 10:42 매수 → +3.50%
   🔴 187660(현대ADM) 11:18 매수 → -2.50% [ML: 50.0%] (패턴없음)
   🔴 097230(HJ중공업) 11:24 매수 → -2.50% [ML: 50.0%] (패턴없음)
# [ML 필터링: 27.3%]       🟢 226950(올릭스) 11:36 매수 → +1.23%

=== 403490 - 20250903 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-03 10:05:09
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    11:15→11:18: 종가:1,889 | 거래량:93,226 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:18→11:21: 종가:1,883 | 거래량:83,722 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:21→11:24: 종가:1,886 | 거래량:71,677 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:24→11:27: 종가:1,858 | 거래량:359,794 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:27→11:30: 종가:1,860 | 거래량:150,976 | 🔴회피(이등분선아래) | 신뢰도:0%
    11:30→11:33: 종가:1,869 | 거래량:138,699 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:33→11:36: 종가:1,872 | 거래량:63,456 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:36→11:39: 종가:1,880 | 거래량:57,462 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:39→11:42: 종가:1,865 | 거래량:56,642 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:42→11:45: 종가:1,868 | 거래량:49,765 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:45→11:48: 종가:1,866 | 거래량:56,758 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:48→11:51: 종가:1,862 | 거래량:28,340 | 🔴회피(이등분선아래) | 신뢰도:0%
    11:51→11:54: 종가:1,857 | 거래량:80,530 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:54→11:57: 종가:1,862 | 거래량:52,923 | 🔴회피(이등분선아래) | 신뢰도:0%
    11:57→12:00: 종가:1,877 | 거래량:81,231 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:00→12:03: 종가:1,869 | 거래량:56,786 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:03→12:06: 종가:1,868 | 거래량:12,809 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:06→12:09: 종가:1,860 | 거래량:49,092 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:09→12:12: 종가:1,864 | 거래량:56,917 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:12→12:15: 종가:1,854 | 거래량:34,325 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:15→12:18: 종가:1,857 | 거래량:47,648 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:18→12:21: 종가:1,862 | 거래량:21,315 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:21→12:24: 종가:1,856 | 거래량:33,179 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
