=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 4건 (2승 2패)
총 수익금: +20,000원 (+0.5%)
  ㄴ 승리 수익: +70,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

=== 총 승패: 2승 2패 ===
=== selection_date 이후 승패: 2승 2패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 2승 2패 (승률 50.0%) ===
총 수익금: +20,000원 (+0.5%)
  ㄴ 승리 수익: +70,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

   🟢 440110(파두) 10:07 매수 → +3.50% [ML: 73.1%]
   🟢 094170(동운아나텍) 10:15 매수 → +3.50% [ML: 71.1%]
   🔴 084670(동양고속) 10:36 매수 → -2.50% [ML: 57.3%]
   🔴 039200(오스코텍) 10:40 매수 → -2.50% [ML: 77.9%]

=== 448900 - 20251127 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-27 10:12:14
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    11:21→11:24: 종가:46,400 | 거래량:791 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:24→11:27: 종가:46,500 | 거래량:2,387 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:27→11:30: 종가:46,350 | 거래량:2,962 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:30→11:33: 종가:45,850 | 거래량:4,795 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:33→11:36: 종가:45,850 | 거래량:4,634 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:36→11:39: 종가:46,000 | 거래량:3,284 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:39→11:42: 종가:46,100 | 거래량:2,038 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:42→11:45: 종가:46,000 | 거래량:2,974 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:45→11:48: 종가:45,750 | 거래량:3,481 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:48→11:51: 종가:45,600 | 거래량:5,339 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:51→11:54: 종가:45,800 | 거래량:2,366 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:54→11:57: 종가:45,350 | 거래량:13,706 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:57→12:00: 종가:45,450 | 거래량:3,055 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:00→12:03: 종가:45,300 | 거래량:2,375 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:03→12:06: 종가:45,050 | 거래량:10,631 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:06→12:09: 종가:44,950 | 거래량:5,420 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:09→12:12: 종가:44,950 | 거래량:6,495 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:12→12:15: 종가:44,700 | 거래량:4,540 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:15→12:18: 종가:45,100 | 거래량:2,538 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:18→12:21: 종가:45,100 | 거래량:2,741 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:21→12:24: 종가:45,300 | 거래량:5,589 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:24→12:27: 종가:45,200 | 거래량:1,773 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:27→12:30: 종가:44,900 | 거래량:5,191 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:30→12:33: 종가:44,850 | 거래량:4,682 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:33→12:36: 종가:44,900 | 거래량:1,557 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:36→12:39: 종가:44,950 | 거래량:328 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:39→12:42: 종가:45,050 | 거래량:1,269 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:42→12:45: 종가:45,200 | 거래량:2,223 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:45→12:48: 종가:45,050 | 거래량:1,676 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:48→12:51: 종가:45,200 | 거래량:961 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:51→12:54: 종가:45,100 | 거래량:1,473 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:54→12:57: 종가:45,050 | 거래량:1,132 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:57→13:00: 종가:45,050 | 거래량:539 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:00→13:03: 종가:44,800 | 거래량:2,271 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:03→13:06: 종가:44,850 | 거래량:2,601 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:06→13:09: 종가:44,750 | 거래량:3,144 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:09→13:12: 종가:44,650 | 거래량:3,355 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:12→13:15: 종가:44,500 | 거래량:3,353 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:15→13:18: 종가:44,350 | 거래량:6,488 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:18→13:21: 종가:44,300 | 거래량:6,382 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:21→13:24: 종가:44,450 | 거래량:1,257 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:24→13:27: 종가:44,700 | 거래량:1,925 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:27→13:30: 종가:44,250 | 거래량:3,072 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:30→13:33: 종가:44,800 | 거래량:4,112 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:33→13:36: 종가:44,450 | 거래량:2,895 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:36→13:39: 종가:44,400 | 거래량:1,582 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:39→13:42: 종가:44,150 | 거래량:5,008 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:42→13:45: 종가:44,200 | 거래량:1,915 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:45→13:48: 종가:43,950 | 거래량:4,354 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:48→13:51: 종가:44,050 | 거래량:3,655 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:51→13:54: 종가:43,500 | 거래량:7,505 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:54→13:57: 종가:43,500 | 거래량:5,521 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:57→14:00: 종가:43,700 | 거래량:7,155 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:00→14:03: 종가:43,500 | 거래량:5,123 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:03→14:06: 종가:43,750 | 거래량:2,686 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:06→14:09: 종가:43,400 | 거래량:2,309 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:09→14:12: 종가:43,450 | 거래량:1,854 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:12→14:15: 종가:43,100 | 거래량:7,121 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:15→14:18: 종가:43,350 | 거래량:2,557 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:18→14:21: 종가:43,500 | 거래량:8,655 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:21→14:24: 종가:43,350 | 거래량:2,219 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:24→14:27: 종가:43,800 | 거래량:3,801 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:27→14:30: 종가:43,850 | 거래량:3,242 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:30→14:33: 종가:43,850 | 거래량:8,543 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:33→14:36: 종가:43,850 | 거래량:892 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:36→14:39: 종가:43,500 | 거래량:2,798 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:39→14:42: 종가:43,450 | 거래량:1,948 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:42→14:45: 종가:43,950 | 거래량:2,448 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
