=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 6건 (5승 1패)
총 수익금: +116,100원 (+1.9%)
  ㄴ 승리 수익: +141,100원 (실제 수익률 합계)
  ㄴ 손실 금액: -25,000원 (실제 손실률 합계)

=== 총 승패: 5승 1패 ===
=== selection_date 이후 승패: 5승 1패 ===
=== 📊 최대 동시 보유 종목 수: 3개 ===
=== 🌅 12시 이전 매수 종목: 5승 1패 (승률 83.3%) ===
총 수익금: +116,100원 (+1.9%)
  ㄴ 승리 수익: +141,100원 (실제 수익률 합계)
  ㄴ 손실 금액: -25,000원 (실제 손실률 합계)

   🟢 226950(올릭스) 09:54 매수 → +3.50% [ML: 66.3%]
   🟢 160190(하이젠알앤엠) 10:00 매수 → +3.50% [ML: 73.3%]
   🟢 458870(씨어스테크놀로지) 10:40 매수 → +0.11% [ML: 53.0%]
   🟢 380550(뉴로핏) 10:48 매수 → +3.50% [ML: 77.5%]
   🔴 014620(성광벤드) 11:21 매수 → -2.50% [ML: 50.0%] (패턴없음)
   🟢 437730(삼현) 11:24 매수 → +3.50% [ML: 50.0%] (패턴없음)

=== 380550 - 20250902 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-02 10:10:44
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    10:48 [pullback_pattern]
  체결 시뮬레이션:
    10:48 매수[pullback_pattern] @12,222 → 10:58 매도[profit_3.5pct] @12,650 (+3.50%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    11:54→11:57: 종가:12,700 | 거래량:54,027 | 🔴회피(시가대비22.1%상승(22%이상차단)) | 신뢰도:0%
    11:57→12:00: 종가:12,800 | 거래량:26,695 | 🔴회피(시가대비23.1%상승(22%이상차단)) | 신뢰도:0%
    12:00→12:03: 종가:12,800 | 거래량:15,586 | 🔴회피(시가대비23.1%상승(22%이상차단)) | 신뢰도:0%
    12:03→12:06: 종가:12,710 | 거래량:17,846 | 🔴회피(시가대비22.2%상승(22%이상차단)) | 신뢰도:0%
    12:06→12:09: 종가:12,660 | 거래량:22,842 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:09→12:12: 종가:12,720 | 거래량:10,104 | 🔴회피(시가대비22.3%상승(22%이상차단)) | 신뢰도:0%
    12:12→12:15: 종가:12,760 | 거래량:10,022 | 🔴회피(시가대비22.7%상승(22%이상차단)) | 신뢰도:0%
    12:15→12:18: 종가:12,710 | 거래량:13,554 | 🔴회피(시가대비22.2%상승(22%이상차단)) | 신뢰도:0%
    12:18→12:21: 종가:12,830 | 거래량:25,534 | 🔴회피(시가대비23.4%상승(22%이상차단)) | 신뢰도:0%
    12:21→12:24: 종가:12,770 | 거래량:13,278 | 🔴회피(시가대비22.8%상승(22%이상차단)) | 신뢰도:0%
    12:24→12:27: 종가:12,770 | 거래량:10,733 | 🔴회피(시가대비22.8%상승(22%이상차단)) | 신뢰도:0%
    12:27→12:30: 종가:12,580 | 거래량:53,890 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:30→12:33: 종가:12,600 | 거래량:15,597 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:33→12:36: 종가:12,620 | 거래량:15,955 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:36→12:39: 종가:12,600 | 거래량:6,220 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:39→12:42: 종가:12,640 | 거래량:10,724 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:42→12:45: 종가:12,730 | 거래량:8,731 | 🔴회피(시가대비22.4%상승(22%이상차단)) | 신뢰도:0%
    12:45→12:48: 종가:12,700 | 거래량:12,875 | 🔴회피(시가대비22.1%상승(22%이상차단)) | 신뢰도:0%
    12:48→12:51: 종가:12,660 | 거래량:6,283 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:51→12:54: 종가:12,730 | 거래량:9,421 | 🔴회피(시가대비22.4%상승(22%이상차단)) | 신뢰도:0%
